排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,评价理由,原冻结药物名称,名称与实物核验说明,原适应症,目标适应症假设,跨原适应症大类,药物完整InChIKey,旧靶点ChEMBL编号,旧作用机制,新靶点基因,新靶点ChEMBL编号,参考化合物ChEMBL编号,参考化合物端点类型,参考化合物证据层级,参考化合物实验编号,参考化合物文献编号,已知药物作用类型,已知药物查询口径,参考化合物说明,阳性近邻Tanimoto,可用阳性近邻_ge04,TxGNN疾病排名,OT疾病关联分,pair_id
270,P3 先解决具体问题,C384-309,brivaracetam,Synaptic vesicle glycoprotein 2A,CYP46A1 — Cholesterol 24-hydroxylase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,VORICONAZOLE,6,先解决具体问题,胆固醇转化读数和参考物测通。,布立西坦–CYP46A1需先确认含血红素活性酶，SV2A原机制不是反对。,brivaracetam,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,局灶起始癫痫发作,Dravet syndrome,False,MSYKRHVOOPPJKU-BDAKNGLRSA-N,CHEMBL1998,Synaptic vesicle glycoprotein 2A modulator,CYP46A1,CHEMBL4523510,CHEMBL638,"Kd,IC50,Ki",Kd_RECORD_PRESENT,"1915216,1915225,1915226",113751,,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1594202898550724,False,44.0,0.3629795778526015,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL4523510
271,P3 先解决具体问题,C384-311,meropenem,Bacterial penicillin-binding protein,MMP7 — Matrilysin,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,PRINOMASTAT,6,先解决具体问题,记录稳定性和成熟MMP7对照，合格可测。,美罗培南–MMP7需核查测定期间母药稳定性，否则难区分降解效应。,meropenem,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,复杂皮肤/腹腔细菌感染及儿童细菌性脑膜炎；含vaborbactam复方另有cUTI,pneumonia,False,DMJNNHOOLUXYBV-PQTSNVLCSA-N,CHEMBL2354204,Bacterial penicillin-binding protein inhibitor,MMP7,CHEMBL4073,CHEMBL75094,"Ki,IC50",Ki_NO_Kd_RECORD,"102105,305735","15212,20836",DOXYCYCLINE: INHIBITOR; DOXYCYCLINE CALCIUM: INHIBITOR; DOXYCYCLINE HYCLATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1797752808988764,False,10.0,0.4665432360040631,DMJNNHOOLUXYBV-PQTSNVLCSA-N__CHEMBL4073
272,P3 先解决具体问题,C384-320,mirdametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,6,先解决具体问题,专用底物及参考物合格再测母药。,米达美替尼–HDAC11首要是用正确去长链酰化端点，普通去乙酰化可能误判。,mirdametinib,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NF1伴不能完整切除症状性丛状神经纤维瘤（良性肿瘤场景，非泛癌）,acute myeloid leukemia,False,SUDAHWBOROXANE-SECBINFHSA-N,CHEMBL2964; CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor; Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,HDAC11,CHEMBL3310,CHEMBL483254,"IC50,Ki",Ki_NO_Kd_RECORD,"1590572,1779306,1839062,1856778,2159155,2266559,2443967,2467792,2592878,2611253","99824,109088,111286,111830,121922,125060,129214,129777,133986,136439",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1954022988505747,False,24.0,0.3090210902259143,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL3310
273,P3 先解决具体问题,C384-123,esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,7,先解决具体问题,先确认化合物在实验缓冲液中的稳定性，用CA7酶活与阳性对照验证；初步支持后再配置浓度梯度SPR。,esmolol–CA7先核母药缓冲液稳定性，以确保测量实体明确，而不是因无文献拒绝。,esmolol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,短期室上速含房颤/房扑心室率控制、非代偿窦速及围手术期心动过速/高血压控制,open-angle glaucoma,True,AQNDDEOPVVGCPG-UHFFFAOYSA-N,CHEMBL210; CHEMBL213,Beta-1 adrenergic receptor antagonist; Beta-2 adrenergic receptor antagonist,CA7,CHEMBL2326,CHEMBL18,"Ki,Kd",Kd_RECORD_PRESENT,"302350,989827","20823,75385",METHAZOLAMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3584905660377358,False,28.0,0.3695798546847018,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL2326
274,P3 先解决具体问题,C384-202,ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",LEVOKETOCONAZOLE,OSILODROSTAT,7,先解决具体问题,先使CYP11B2产物及参考物响应测通，再解释候选。,伊伐布雷定–CYP11B2的实际阻碍是活性构建和电子供体/对照未确认。,ivabradine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,限定窦律HFrEF降低心衰住院；儿童扩张型心肌病症状性心衰,adrenal gland hyperfunction,True,ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL1250417,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,CYP11B2,CHEMBL2722,CHEMBL3099695,IC50,FUNCTIONAL_OR_OTHER_ONLY,"1281888,1281894,1456067,1519253,1714736","76310,90138,93685,106395",LEVOKETOCONAZOLE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2666666666666666,False,12.0,0.3711057784609701,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2722
275,P3 先解决具体问题,C384-203,epinephrine,Adrenergic receptor,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,7,先解决具体问题,记录样品稳定性与纯酶干扰，区分氧化产物。,肾上腺素–FAAH需先解决儿茶酚氧化干扰，咽炎节点不提供方向。,epinephrine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,感染性休克低血压升压；严重过敏急救；眼内手术散瞳,pharyngitis,True,UCTWMZQNUQWSLP-VIFPVBQESA-N,CHEMBL2331074,Adrenergic receptor agonist,FAAH,CHEMBL2243,CHEMBL2386558,"Kd,IC50",Kd_RECORD_PRESENT,"960967,960986",73697,ACETAMINOPHEN: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2884615384615384,False,45.0,0.5978096511113958,UCTWMZQNUQWSLP-VIFPVBQESA-N__CHEMBL2243
276,P3 先解决具体问题,C384-206,eltrombopag,Thrombopoietin receptor,LCK — Tyrosine-protein kinase Lck,PAZOPANIB HYDROCHLORIDE,DASATINIB ANHYDROUS,7,先解决具体问题,定义预期免疫作用方向；若仅做结合侦察，可与疾病疗效脱钩。,艾曲泊帕–LCK用于HIV的价值需先区分血小板支持与抗感染，尚无LCK直接阴性。,eltrombopag,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,既往治疗不足的持续/慢性ITP；HCV相关血小板减少以支持干扰素疗法；重度再障一线联合IST或IST反应不足；非MDS，非直接抗病毒,HIV infectious disease,True,XDXWLKQMMKQXPV-QYQHSDTDSA-N,CHEMBL1864,Thrombopoietin receptor agonist,LCK,CHEMBL258,CHEMBL1421,"IC50,Kd",Kd_RECORD_PRESENT,"430257,586842,1642927,1909790,2514865","35313,48311,103566,113531,130982",PAZOPANIB HYDROCHLORIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.25,False,40.0,0.4634045759454674,XDXWLKQMMKQXPV-QYQHSDTDSA-N__CHEMBL258
277,P3 先解决具体问题,C384-265,vorapaxar,Proteinase-activated receptor 1,DPP4 — Dipeptidyl peptidase 4,ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GOSOGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,LINAGLIPTIN,7,先解决具体问题,确认实际溶解浓度和聚集情况，再做DPP4功能。,沃拉帕沙–DPP4的主要操作障碍是高预测疏水性，尚无直接阴性。,vorapaxar,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,口服 ZONTIVITY：既往 MI 或 PAD 患者降低血栓性 CV 事件；联合 aspirin 和/或 clopidogrel 按其指征/标准治疗,diabetic kidney disease,True,ZBGXUVOIWDMMJE-QHNZEKIYSA-N,CHEMBL3974,Proteinase-activated receptor 1 antagonist,DPP4,CHEMBL284,CHEMBL237500,"IC50,Kd",Kd_RECORD_PRESENT,"452479,803854,960573,1878589,1928899,2262455,2355653,2591553,2607124","37272,61098,73678,112483,114289,124880,127754,133335,136315",ALOGLIPTIN BENZOATE: INHIBITOR; ANAGLIPTIN: INHIBITOR; EVOGLIPTIN: INHIBITOR; GOSOGLIPTIN: INHIBITOR; LINAGLIPTIN: INHIBITOR; OMARIGLIPTIN: INHIBITOR; SAXAGLIPTIN HYDROCHLORIDE: INHIBITOR; SITAGLIPTIN FUMARATE: INHIBITOR; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE: INHIBITOR; SITAGLIPTIN PHOSPHATE: INHIBITOR; TENELIGLIPTIN: INHIBITOR; TRELAGLIPTIN SUCCINATE: INHIBITOR; VILDAGLIPTIN: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2395833333333333,False,50.0,0.3752924660904731,ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL284
278,P3 先解决具体问题,C384-119,bazedoxifene,Estrogen receptor,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,ALECTINIB HYDROCHLORIDE; PRALSETINIB; QUIZARTINIB; REGORAFENIB; SELPERCATINIB; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE; VANDETANIB,STAUROSPORINE,7,先解决具体问题,先确认纯母体工作液及RET域；直接作用与肥胖方向均需验证。,bazedoxifene–RET先核单体而非复方、可溶浓度及RET域，计算理化风险尚非实测失败。,bazedoxifene,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,美国结合雌激素复方治疗绝经血管舒缩症状/预防骨质疏松；欧盟单药治疗绝经后骨质疏松,obesity disorder,False,UCJGJABZCDBEDK-UHFFFAOYSA-N,CHEMBL2093866,Estrogen receptor modulator,RET,CHEMBL2041,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"586489,586600,1586053,1730359,1828713,2054987,2054988,2054989,2054990,2065318,2583372","48311,99644,107047,110936,118641,119003,131258",ALECTINIB HYDROCHLORIDE: INHIBITOR; PRALSETINIB: INHIBITOR; QUIZARTINIB: INHIBITOR; REGORAFENIB: INHIBITOR; SELPERCATINIB: INHIBITOR; SORAFENIB TOSYLATE: INHIBITOR; SUNITINIB: INHIBITOR; SUNITINIB MALATE: INHIBITOR; VANDETANIB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3902439024390244,False,35.0,0.3408644235789102,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL2041
279,P3 先解决具体问题,C384-133,hydroxychloroquine,Ferriprotoporphyrin IX; Toll-like receptor 7; Toll-like receptor 9,TYK2 — Non-receptor tyrosine-protein kinase TYK2,DEUCRAVACITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; UPADACITINIB HEMIHYDRATE,STAUROSPORINE,7,先解决具体问题,先明确所测域及域匹配对照，SPR后验证相应细胞信号方向。,hydroxychloroquine–TYK2要先匹配JH1/JH2域，既有抗炎效应不能代替域特异结合。,hydroxychloroquine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,敏感疟原虫疟疾治疗/预防；类风湿关节炎、系统性及盘状红斑狼疮,psoriatic arthritis,False,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,CHEMBL5804; CHEMBL5936; CHEMBL613897,Ferriprotoporphyrin IX inhibitor; Toll-like receptor 7 antagonist; Toll-like receptor 9 antagonist,TYK2,CHEMBL3553,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"586610,1586060,1699217,1828791,2032784,2065263,2583427,2613723","48311,99644,105824,110936,117897,119003,131258,136512",DEUCRAVACITINIB: NEGATIVE ALLOSTERIC MODULATOR; DEURUXOLITINIB PHOSPHATE: INHIBITOR; FILGOTINIB: INHIBITOR; FILGOTINIB MALEATE: INHIBITOR; UPADACITINIB HEMIHYDRATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2197802197802197,False,1.0,0.6709872324209949,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL3553
280,P3 先解决具体问题,C384-312,perampanel,Glutamate receptor ionotropic AMPA,CYP46A1 — Cholesterol 24-hydroxylase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,VORICONAZOLE,7,先解决具体问题,胆固醇产物读出合格再探索抑制/激活。,吡仑帕奈–CYP46A1应先确认活性体系和溶解性，其他CYP药代无否定效力。,perampanel,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,局灶癫痫及原发全面强直阵挛发作辅助,Dravet syndrome,False,PRMWGUBFXWROHD-UHFFFAOYSA-N,CHEMBL2096670,Glutamate receptor ionotropic AMPA antagonist,CYP46A1,CHEMBL4523510,CHEMBL638,"Kd,IC50,Ki",Kd_RECORD_PRESENT,"1915216,1915225,1915226",113751,,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2222222222222222,False,19.0,0.3629795778526015,PRMWGUBFXWROHD-UHFFFAOYSA-N__CHEMBL4523510
281,P3 先解决具体问题,C384-168,aripiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,8,先解决具体问题,先复核阴性近邻受测条件及MAOB酶活，使用aripiprazole实体而非lauroxil前药；有一致效应再SPR。,aripiprazole–MAOB需核较近阴性近邻条件及母药而非lauroxil前药，不能仅凭近邻阴性排除。,aripiprazole,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,模型实体 aripiprazole：精神分裂症；双相 I 躁狂/混合发作单药及锂/丙戊酸辅助；成人 MDD 辅助；自闭症相关易激惹；Tourette 障碍；年龄及剂型条件依各项标签,depressive disorder,False,CEUORZQYGODEFX-UHFFFAOYSA-N,CHEMBL214; CHEMBL217; CHEMBL224,Dopamine D2 receptor partial agonist; Serotonin 1a (5-HT1a) receptor partial agonist; Serotonin 2a (5-HT2a) receptor antagonist,MAOB,CHEMBL2039,CHEMBL279390,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"320782,885769,1464177,1464353,1464362,1650368,1715376,1753079,1787948,1868178,1921316,2058917,2238396,2284159","30041,67006,91071,103878,106422,107936,109499,112137,113965,118770,124318,125594",RASAGILINE MESYLATE: INHIBITOR; RASAGILINE TARTRATE: INHIBITOR; SAFINAMIDE: INHIBITOR; SAFINAMIDE MESYLATE: INHIBITOR; SELEGILINE: INHIBITOR; SELEGILINE HYDROCHLORIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.5245901639344263,True,25.0,0.5028597339426994,CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2039
282,P3 先解决具体问题,C384-072,calcipotriene,Vitamin D3 receptor,EGLN3 — Prolyl hydroxylase EGLN3,VADADUSTAT,CHEMBL3133890,8,先解决具体问题,先确认工作液和成熟羟化酶体系，有直接活性才升级。,calcipotriene–EGLN3需先核实际可溶浓度及活性羟化酶，计算logP不等于已证不溶。,calcipotriene,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人斑块银屑病及特定头皮银屑病；其他皮肤病疗效未确立,eye disorder,True,LWQQLNNNIPYSNX-UROSTWAQSA-N,CHEMBL1977,Vitamin D receptor agonist,EGLN3,CHEMBL5705,CHEMBL3133890,"Kd,IC50",Kd_RECORD_PRESENT,"1299428,1299430",77288,VADADUSTAT: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.0967741935483871,False,42.0,0.3066570951233981,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL5705
283,P3 先解决具体问题,C384-208,imipenem,Bacterial penicillin-binding protein,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,8,先解决具体问题,确认单一母药和测定期间稳定性后可探索。,亚胺培南–FAAH需防止西司他丁复方及降解影响母药归因。,imipenem,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,与cilastatin合用治疗敏感菌严重感染,sinusitis,True,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,CHEMBL2354204,Bacterial penicillin-binding protein inhibitor,FAAH,CHEMBL2243,CHEMBL2386558,"Kd,IC50",Kd_RECORD_PRESENT,"960967,960986",73697,ACETAMINOPHEN: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2073170731707317,False,6.0,0.5261379875719714,ZSKVGTPCRGIANV-ZXFLCMHBSA-N__CHEMBL2243
284,P3 先解决具体问题,C384-315,meloxicam,Prostaglandin G/H synthase 2,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,8,先解决具体问题,取回逐药表；未包含则仍可探索，包含则按实际端点分类。,美洛昔康是否在旧NSAID–DHFR实测研究尚未核实，需避免重复或误称新发现。,meloxicam,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,OA/RA及≥60kg少关节/多关节幼年RA症状缓解；仅抓取片剂用途,arthritic joint disease,False,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,CHEMBL230,Cyclooxygenase-2 inhibitor,DHFR,CHEMBL202,CHEMBL310759,Kd,Kd_RECORD_PRESENT,1458972,90243,METHOTREXATE: INHIBITOR; METHOTREXATE SODIUM: INHIBITOR; PEMETREXED: INHIBITOR; PEMETREXED DIPOTASSIUM: INHIBITOR; PEMETREXED DISODIUM: INHIBITOR; PEMETREXED MONOHYDRATE: INHIBITOR; PEMETREXED TROMETHAMINE: INHIBITOR; PRALATREXATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2753623188405797,False,3.0,0.3708971502139759,ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL202
285,P3 先解决具体问题,C384-324,crisaborole,Phosphodiesterase 4,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,8,先解决具体问题,纯化合物实际浓度达标，不用软膏制剂直接测试。,克立硼罗–FAAH官方水不溶描述使配液验证必要，含硼结构本身不证明或否定活性。,crisaborole,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,轻中度特应性皮炎局部治疗,seasonal allergic rhinitis,False,USZAGAREISWJDP-UHFFFAOYSA-N,CHEMBL2093863,Phosphodiesterase 4 inhibitor,FAAH,CHEMBL2243,CHEMBL2386558,"Kd,IC50",Kd_RECORD_PRESENT,"960967,960986",73697,ACETAMINOPHEN: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2941176470588235,False,26.0,0.5915114240366296,USZAGAREISWJDP-UHFFFAOYSA-N__CHEMBL2243
286,P3 先解决具体问题,C384-327,deutetrabenazine,Synaptic vesicular amine transporter,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT TARTRATE; MIGLUSTAT,ELIGLUSTAT,8,先解决具体问题,UGCG脂质产物及参考物先测通，实体与模型一致。,氘代丁苯那嗪–UGCG须固定氘代母体/代谢物，并确认膜脂功能体系。,deutetrabenazine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,亨廷顿病舞蹈症；迟发性运动障碍,Gaucher disease,False,MKJIEFSOBYUXJB-WEZHFFAMSA-N,CHEMBL1893,Synaptic vesicular amine transporter inhibitor,UGCG,CHEMBL2063,CHEMBL2110588,IC50,FUNCTIONAL_OR_OTHER_ONLY,"1507993,2585857","92898,131267",ELIGLUSTAT TARTRATE: INHIBITOR; MIGLUSTAT: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1829268292682926,False,13.0,0.5790376610049817,MKJIEFSOBYUXJB-WEZHFFAMSA-N__CHEMBL2063
287,P3 先解决具体问题,C384-363,tazemetostat,Histone-lysine N-methyltransferase EZH2,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,8,先解决具体问题,确认可溶浓度/聚集及DHFR纯酶读数，不靠类器官表型。,他泽司他DHFR文献命中属于甲氨蝶呤，另有较大分子及疏水性带来的实测条件问题。,tazemetostat,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,≥16岁不可完全切除局晚/转移上皮样肉瘤；成人复发难治滤泡淋巴瘤EZH2突变且≥2线后或无满意替代；所抓标签为加速批准条件,lung large cell carcinoma,False,NSQSAUGJQHDYNO-UHFFFAOYSA-N,CHEMBL2189110,Histone-lysine N-methyltransferase EZH2 inhibitor,DHFR,CHEMBL202,CHEMBL310759,Kd,Kd_RECORD_PRESENT,1458972,90243,METHOTREXATE: INHIBITOR; METHOTREXATE SODIUM: INHIBITOR; PEMETREXED: INHIBITOR; PEMETREXED DIPOTASSIUM: INHIBITOR; PEMETREXED DISODIUM: INHIBITOR; PEMETREXED MONOHYDRATE: INHIBITOR; PEMETREXED TROMETHAMINE: INHIBITOR; PRALATREXATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2736842105263158,False,19.0,0.4619748183558772,NSQSAUGJQHDYNO-UHFFFAOYSA-N__CHEMBL202
