排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,名称与实物核验说明
127,P2 第11–20排名且仍可探索,C384-338,apremilast,Phosphodiesterase 4,JAK3 — Tyrosine-protein kinase JAK3,DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; RITLECITINIB; RITLECITINIB TOSYLATE; UPADACITINIB HEMIHYDRATE,STAUROSPORINE,12,仍可探索,JAK3与PDE4功能分开记录。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
128,P2 第11–20排名且仍可探索,C384-364,cabotegravir,Human immunodeficiency virus type 1 integrase,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ROLIPRAM,12,仍可探索,PDE4D cAMP水解和构建合格即可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
129,P2 第11–20排名且仍可探索,C384-383,ivosidenib,Isocitrate dehydrogenase [NADP] cytoplasmic,GSK3B — Glycogen synthase kinase-3 beta,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,12,仍可探索,GSK3B功能及实际溶解性确认，IDH1作用分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
130,P2 第11–20排名且仍可探索,C384-049,pregabalin,Voltage-gated calcium channel,ENPEP — Glutamyl aminopeptidase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL4217064,13,仍可探索,若ENPEP已有活性体系可候补，先测氨肽酶活性，确认结合再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
131,P2 第11–20排名且仍可探索,C384-051,rasagiline,Amine oxidase [flavin-containing] B,GBA1 — Lysosomal acid glucosylceramidase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5951426,13,仍可探索,先酶活区分抑制、激活或伴侣效应；阳性后核具体GBA1变体，不能直接外推Gaucher亚型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
132,P2 第11–20排名且仍可探索,C384-145,vorinostat,Histone deacetylase 1; Histone deacetylase 2; Histone deacetylase 3; Protein deacetylase HDAC6,ECE1 — Endothelin-converting enzyme 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL571153,13,仍可探索,先核对ECE1催化构建与金属条件，配套酶活及其他金属酶反筛解释SPR信号。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
133,P2 第11–20排名且仍可探索,C384-234,palonosetron,5-hydroxytryptamine receptor 3A,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,13,仍可探索,用真正FKBP12竞争/功能实验探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
134,P2 第11–20排名且仍可探索,C384-272,apixaban,Coagulation factor X,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,13,仍可探索,含锌CA4功能对照，偏头痛方向另核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
135,P2 第11–20排名且仍可探索,C384-296,pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,NTRK2 — BDNF/NT-3 growth factors receptor,REPOTRECTINIB,STAUROSPORINE,13,仍可探索,纯母药NTRK2生化测定，近邻连接分子不转效力。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
136,P2 第11–20排名且仍可探索,C384-339,pramipexole,D2-like dopamine receptor,CA2 — Carbonic anhydrase 2,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; BRINZOLAMIDE; DICHLORPHENAMIDE; DORZOLAMIDE HYDROCHLORIDE; METHAZOLAMIDE; TOPIRAMATE,DORZOLAMIDE,13,仍可探索,含锌CA2和参考物支持下探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
137,P2 第11–20排名且仍可探索,C384-367,enzalutamide,Androgen receptor,BRAF — Serine/threonine-protein kinase B-raf,DABRAFENIB MESYLATE; ENCORAFENIB; REGORAFENIB; SORAFENIB TOSYLATE; VEMURAFENIB,SB590885,13,仍可探索,指定BRAF构建纯酶检验，AR作用和联用协同分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
138,P2 第11–20排名且仍可探索,C384-368,donepezil,Acetylcholinesterase,COMT — Catechol O-methyltransferase,ENTACAPONE; OPICAPONE,CHEMBL5653589,13,仍可探索,明确COMT可溶/膜型、SAM条件，纯功能探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
139,P2 第11–20排名且仍可探索,C384-052,memantine,Glutamate [NMDA] receptor,AR — Androgen receptor,ABIRATERONE; APALUTAMIDE; BICALUTAMIDE; CLASCOTERONE; DANAZOL; DAROLUTAMIDE; DROMOSTANOLONE PROPIONATE; ENZALUTAMIDE; ETHYLESTRENOL; FLUOXYMESTERONE; FLUTAMIDE; METHYLTESTOSTERONE; NANDROLONE DECANOATE; NANDROLONE PHENPROPIONATE; NILUTAMIDE; OXANDROLONE; OXYMETHOLONE; STANOZOLOL; TESTOSTERONE; TESTOSTERONE CYPIONATE; TESTOSTERONE ENANTHATE; TESTOSTERONE PROPIONATE; TESTOSTERONE UNDECANOATE,TESTOSTERONE,14,仍可探索,仅在AR成熟体系中低成本侦察，先证直接结合与功能方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
140,P2 第11–20排名且仍可探索,C384-053,amantadine,Glutamate [NMDA] receptor; Matrix protein 2,GBA1 — Lysosomal acid glucosylceramidase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5951426,14,仍可探索,先找直接酶效应，若做需区分野生型/变体及活性方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
141,P2 第11–20排名且仍可探索,C384-146,labetalol,Adrenergic receptor,CA1 — Carbonic anhydrase 1,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; METHOCARBAMOL,ETHOXZOLAMIDE,14,仍可探索,在CA1参考对照测通后小规模初筛，并与CA2/CA7比较；信号缺乏选择性则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
142,P2 第11–20排名且仍可探索,C384-236,xanomeline,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M4,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,14,仍可探索,单一呫诺美林、CA4/CA2对照，不用复方替代。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
143,P2 第11–20排名且仍可探索,C384-237,glimepiride,"Sulfonylurea receptor 1, Kir6.2",MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,14,仍可探索,MME活性与SPR互证，和REN假说独立记录。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
144,P2 第11–20排名且仍可探索,C384-238,pitavastatin,3-hydroxy-3-methylglutaryl-coenzyme A reductase,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,14,仍可探索,纯MME测定区分新机制与降脂间接效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
145,P2 第11–20排名且仍可探索,C384-240,afatinib,Epidermal growth factor receptor; Receptor tyrosine-protein kinase erbB-2; Receptor tyrosine-protein kinase erbB-4,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,14,仍可探索,纯REN功能和非特异蛋白对照，转化耐受另评。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
146,P2 第11–20排名且仍可探索,C384-273,metoclopramide,5-hydroxytryptamine receptor 3A; 5-hydroxytryptamine receptor 4; D(2) dopamine receptor,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,14,仍可探索,测纯母药及明确物种CA4。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
147,P2 第11–20排名且仍可探索,C384-369,rasagiline,Amine oxidase [flavin-containing] B,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,14,仍可探索,纯ACE而非ACE2，作用方向另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
148,P2 第11–20排名且仍可探索,C384-370,lofexidine,Adrenergic receptor alpha-2,GSK3A — Glycogen synthase kinase-3 alpha,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ABEMACICLIB,14,仍可探索,GSK3A/B功能并行和原受体作用分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
149,P2 第11–20排名且仍可探索,C384-371,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,14,仍可探索,纯PRKCB测母药，细胞实验另作CRBN依赖控制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
150,P2 第11–20排名且仍可探索,C384-018,terazosin,Adrenergic receptor alpha-1,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",ALPELISIB; COPANLISIB; COPANLISIB HYDROCHLORIDE; INAVOLISIB,WORTMANNIN,15,仍可探索,确认terazosin精确结构及PI3Kα催化/调节构建；阳性后补脂质激酶活性，另界定疾病意义。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
151,P2 第11–20排名且仍可探索,C384-054,bupivacaine,Sodium channel protein type 4 subunit alpha,MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,15,仍可探索,已有MMP12体系可候补，核药物异构体与非特异吸附，结合需酶活复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
152,P2 第11–20排名且仍可探索,C384-055,pregabalin,Voltage-gated calcium channel,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,15,仍可探索,已有成熟活性肾素体系才候补，先低成本酶活。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
153,P2 第11–20排名且仍可探索,C384-147,rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,MAPK9 — Mitogen-activated protein kinase 9,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,TANZISERTIB,15,仍可探索,先以JNK1/JNK2活性小面板区分，再选择一个有重复效应的构建做梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
154,P2 第11–20排名且仍可探索,C384-149,guanfacine,Adrenergic receptor alpha-2,ROCK2 — Rho-associated protein kinase 2,BELUMOSUDIL,Y-39983,15,仍可探索,先核查ROCK1/2选择性活性；结合后需确定眼部研究可实现的作用方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
155,P2 第11–20排名且仍可探索,C384-241,larotrectinib,Neurotrophic tyrosine kinase receptor,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,15,仍可探索,FKBP配体竞争/功能验证，不靠TRK标签升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
156,P2 第11–20排名且仍可探索,C384-242,dolutegravir,Human immunodeficiency virus type 1 integrase,MAPK9 — Mitogen-activated protein kinase 9,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,TANZISERTIB,15,仍可探索,JNK2与1/3并行，功能成立后细化癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
157,P2 第11–20排名且仍可探索,C384-243,ribociclib,Cyclin-dependent kinase 4; Cyclin-dependent kinase 6,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,15,仍可探索,纯化REN实验，不用合用临床结果作直连。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
158,P2 第11–20排名且仍可探索,C384-244,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,TYMS — Thymidylate synthase,CAPECITABINE; FLOXURIDINE; FLUOROURACIL; PEMETREXED; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; RALTITREXED; TEGAFUR,5-FLUORODEOXYURIDYLATE,15,仍可探索,TYMS辅因子与催化条件明确后检验。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
159,P2 第11–20排名且仍可探索,C384-245,etonogestrel,Progesterone receptor,VDR — Vitamin D3 receptor,ALFACALCIDOL; CALCIFEDIOL; CALCIPOTRIENE; CALCITRIOL; CHOLECALCIFEROL; DIHYDROTACHYSTEROL; DOXERCALCIFEROL; ERGOCALCIFEROL; PARICALCITOL,CHEMBL4066573,15,仍可探索,固定母药而非前体；激动拮抗方向分别判读。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
160,P2 第11–20排名且仍可探索,C384-173,quetiapine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; D(2) dopamine receptor,ESRRG — Estrogen-related receptor gamma,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BISPHENOL A,15,仍可探索,先核查ERRγ竞争/转录报告，若仅原受体介导细胞效应则不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
161,P2 第11–20排名且仍可探索,C384-174,naltrexone,Opioid receptors; mu/kappa/delta,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,15,仍可探索,如PDE9A平台已准备好，先测cGMP水解；出现重复效应再SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
162,P2 第11–20排名且仍可探索,C384-275,nicardipine,Voltage-gated L-type calcium channel,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,15,仍可探索,在合格FAAH体系低成本探索并正交验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
163,P2 第11–20排名且仍可探索,C384-298,panobinostat,Histone deacetylase,PARP2 — Poly [ADP-ribose] polymerase 2,NIRAPARIB; NIRAPARIB TOSYLATE MONOHYDRATE; TALAZOPARIB; TALAZOPARIB TOSYLATE,TALAZOPARIB,15,仍可探索,纯PARP2与PARP1功能比较，不用表达下降当结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
164,P2 第11–20排名且仍可探索,C384-348,enasidenib,"Isocitrate dehydrogenase [NADP], mitochondrial",GSK3B — Glycogen synthase kinase-3 beta,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,15,仍可探索,纯GSK3B与IDH2作用分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
165,P2 第11–20排名且仍可探索,C384-350,tipiracil,Thymidine phosphorylase,TYMS — Thymidylate synthase,CAPECITABINE; FLOXURIDINE; FLUOROURACIL; PEMETREXED; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; RALTITREXED; TEGAFUR,5-FLUORODEOXYURIDYLATE,15,仍可探索,确认纯替匹嘧啶并做TYMS功能，不转移复方结果。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
166,P2 第11–20排名且仍可探索,C384-019,dasabuvir,RNA-directed RNA polymerase,AR — Androgen receptor,ABIRATERONE; APALUTAMIDE; BICALUTAMIDE; CLASCOTERONE; DANAZOL; DAROLUTAMIDE; DROMOSTANOLONE PROPIONATE; ENZALUTAMIDE; ETHYLESTRENOL; FLUOXYMESTERONE; FLUTAMIDE; METHYLTESTOSTERONE; NANDROLONE DECANOATE; NANDROLONE PHENPROPIONATE; NILUTAMIDE; OXANDROLONE; OXYMETHOLONE; STANOZOLOL; TESTOSTERONE; TESTOSTERONE CYPIONATE; TESTOSTERONE ENANTHATE; TESTOSTERONE PROPIONATE; TESTOSTERONE UNDECANOATE,TESTOSTERONE,16,仍可探索,若AR体系已有则候补；先验证结合，再确定AR/ER状态及功能方向，不能挪用NS5B活性。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
167,P2 第11–20排名且仍可探索,C384-077,elexacaftor,Cystic fibrosis transmembrane conductance regulator,"PIK3CG — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",DUVELISIB MONOHYDRATE,PICTILISIB,16,仍可探索,先核纯母药与PI3Kγ构建，再直接测脂质激酶活性；无额外支持不单独建体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
168,P2 第11–20排名且仍可探索,C384-246,labetalol,Adrenergic receptor,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,16,仍可探索,核对混合异构体，ACE功能与SPR互证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
169,P2 第11–20排名且仍可探索,C384-247,ubrogepant,Calcitonin gene-related peptide type 1 receptor,JAK3 — Tyrosine-protein kinase JAK3,DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; RITLECITINIB; RITLECITINIB TOSYLATE; UPADACITINIB HEMIHYDRATE,STAUROSPORINE,16,仍可探索,JAK3与JAK1/2生化反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
170,P2 第11–20排名且仍可探索,C384-113,amlodipine,Voltage-gated L-type calcium channel,CA12 — Carbonic anhydrase 12,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE,INDAPAMIDE,16,仍可探索,核混合/单异构体身份及CA12胞外域，阳性后补同工酶选择性。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
171,P2 第11–20排名且仍可探索,C384-179,rucaparib,"PARP 1, 2 and 3","PIK3CB — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PICTILISIB,16,仍可探索,先核对PI3Kβ生化活性和构建，避免以DNA修复细胞表型作直接结合替代。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
172,P2 第11–20排名且仍可探索,C384-276,binimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC1 — Histone deacetylase 1,VORINOSTAT,TRICHOSTATIN,16,仍可探索,HDAC1适配复合体与酶活，肺癌重叠单列新颖性。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
173,P2 第11–20排名且仍可探索,C384-351,albuterol,Beta-2 adrenergic receptor,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,16,仍可探索,成熟CTSC测单药，支气管扩张表型另判。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
174,P2 第11–20排名且仍可探索,C384-373,mebendazole,Tubulin,HCK — Tyrosine-protein kinase HCK,BOSUTINIB,STAUROSPORINE,16,仍可探索,纯HCK生化检验，宿主与寄生虫效应分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
175,P2 第11–20排名且仍可探索,C384-057,quinidine,Sodium channel alpha subunit,ACVRL1 — Activin receptor type-1-like,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,AT-9283,17,仍可探索,按精确药物与ACVRL1标识核panel，有独立线索再投入激酶体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
176,P2 第11–20排名且仍可探索,C384-059,avibactam,Beta-lactamase TEM,DPP4 — Dipeptidyl peptidase 4,ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GOSOGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,LINAGLIPTIN,17,仍可探索,先用单体avibactam测DPP4酶活，勿用复方或共价机制泛化替代证据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
177,P2 第11–20排名且仍可探索,C384-060,labetalol,Adrenergic receptor,EGLN3 — Prolyl hydroxylase EGLN3,VADADUSTAT,CHEMBL3133890,17,仍可探索,已有活性EGLN3才候补，核模型立体化学与采购物一致。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
178,P2 第11–20排名且仍可探索,C384-061,mebendazole,Tubulin,FGFR2 — Fibroblast growth factor receptor 2,PALIFERMIN; PEMIGATINIB; REGORAFENIB; TRAFERMIN,FEXAGRATINIB,17,仍可探索,先测激酶域结合和酶活；不能只用肿瘤细胞抑制认定靶点。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
179,P2 第11–20排名且仍可探索,C384-150,methocarbamol,Carbonic anhydrase 1,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,17,仍可探索,先用CA1作机制参照、CA7作新靶点测相同条件酶活，匹配pH并核对SPR动力学。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
180,P2 第11–20排名且仍可探索,C384-249,bictegravir,Human immunodeficiency virus type 1 integrase,MAPK8 — Mitogen-activated protein kinase 8,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,17,仍可探索,单药JNK1/2/3实验并细化癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
181,P2 第11–20排名且仍可探索,C384-114,glasdegib,Protein smoothened,PDGFRA — Platelet-derived growth factor receptor alpha,AVAPRITINIB; OLARATUMAB; RIPRETINIB; SUNITINIB,STAUROSPORINE,17,仍可探索,已有PDGFRA域与参照才少量追加，核野生型/突变以避免错配。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
182,P2 第11–20排名且仍可探索,C384-299,asenapine,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,17,仍可探索,MAOB酶活及选择性验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
183,P2 第11–20排名且仍可探索,C384-354,binimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,17,仍可探索,纯人DHFR酶活及吸光干扰控制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
184,P2 第11–20排名且仍可探索,C384-375,esketamine,Glutamate [NMDA] receptor,GSK3B — Glycogen synthase kinase-3 beta,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,17,仍可探索,纯GSK3B与NMDA机制分离，可检验新直接靶点。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
185,P2 第11–20排名且仍可探索,C384-062,nevirapine,Human immunodeficiency virus type 1 reverse transcriptase,AKT1 — RAC-alpha serine/threonine-protein kinase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,IPATASERTIB,18,仍可探索,先核细胞条件与直接酶活，若只做SPR须匹配AKT1激活状态。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
186,P2 第11–20排名且仍可探索,C384-063,dasabuvir,RNA-directed RNA polymerase,ALK — ALK tyrosine kinase receptor,ALECTINIB HYDROCHLORIDE; BRIGATINIB; CERITINIB; CRIZOTINIB; ENSARTINIB; ENTRECTINIB; LORLATINIB,STAUROSPORINE,18,仍可探索,先取得纯药直接作用线索，不能把联用限制当新靶点证据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
187,P2 第11–20排名且仍可探索,C384-066,doravirine,Human immunodeficiency virus type 1 reverse transcriptase,NR3C1 — Glucocorticoid receptor,ALCLOMETASONE DIPROPIONATE; AMCINONIDE; BECLOMETHASONE DIPROPIONATE; BETAMETHASONE; BETAMETHASONE ACETATE; BETAMETHASONE BENZOATE; BETAMETHASONE DIPROPIONATE; BETAMETHASONE SODIUM PHOSPHATE; BETAMETHASONE VALERATE; BUDESONIDE; CICLESONIDE; CLOBETASOL PROPIONATE; CLOCORTOLONE PIVALATE; CORTISONE ACETATE; CORTIVAZOL; DEFLAZACORT; DESONIDE; DESOXIMETASONE; DEXAMETHASONE; DEXAMETHASONE ACETATE; DEXAMETHASONE SODIUM PHOSPHATE; DIFLORASONE DIACETATE; DIFLUPREDNATE; FLUMETHASONE PIVALATE; FLUNISOLIDE; FLUOCINOLONE ACETONIDE; FLUOCINONIDE; FLUOROMETHOLONE; FLUOROMETHOLONE ACETATE; FLUPREDNISOLONE; FLURANDRENOLIDE; FLUTICASONE FUROATE; FLUTICASONE PROPIONATE; HALCINONIDE; HALOBETASOL PROPIONATE; HYDROCORTAMATE HYDROCHLORIDE; HYDROCORTISONE; HYDROCORTISONE ACETATE; HYDROCORTISONE BUTYRATE; HYDROCORTISONE CYPIONATE; HYDROCORTISONE PROBUTATE; HYDROCORTISONE SODIUM PHOSPHATE; HYDROCORTISONE SODIUM SUCCINATE; HYDROCORTISONE VALERATE; LOTEPREDNOL ETABONATE; MEDRYSONE; MEPREDNISONE; METHYLPREDNISOLONE; METHYLPREDNISOLONE ACETATE; METHYLPREDNISOLONE SODIUM SUCCINATE; MIFEPRISTONE; MOMETASONE FUROATE; PARAMETHASONE ACETATE; PREDNICARBATE; PREDNISOLONE; PREDNISOLONE ACETATE; PREDNISOLONE SODIUM PHOSPHATE; PREDNISOLONE TEBUTATE; PREDNISONE; RIMEXOLONE; TRIAMCINOLONE; TRIAMCINOLONE ACETONIDE; TRIAMCINOLONE DIACETATE; TRIAMCINOLONE HEXACETONIDE; VAMOROLONE,PREDNISONE,18,仍可探索,已有GR-LBD体系才候补，先证结合及功能，勿将激素联用信息当新靶点。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
188,P2 第11–20排名且仍可探索,C384-078,relugolix,Gonadotropin-releasing hormone receptor,FLT1 — Vascular endothelial growth factor receptor 1,SUNITINIB,STAUROSPORINE,18,仍可探索,已有匹配FLT1构建才追加，结合与酶/受体功能需一致。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
