排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,原药内排名_384,A药内排名_384,A排名变化_正数为后移,A排名区间,A原规则去向,A三个种子Top20次数,A_种子20260921_药内排名,A_种子20260922_药内排名,A_种子20260923_药内排名,A靶点内药物排名_720,B药内排名_384,B排名变化_正数为后移,B排名区间,B原规则去向,B三个种子Top20次数,B_种子20260921_药内排名,B_种子20260922_药内排名,B_种子20260923_药内排名,B靶点内药物排名_720,共识Top20组合
178,C384-061,mebendazole,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,17,293,276,201–384,仅因药内排名超过20而未通过,0,245,229,268,525,168,151,101–200,仅因药内排名超过20而未通过,0,172,357,87,407,A和B均未进Top20
179,C384-150,methocarbamol,CA7 — Carbonic anhydrase 7,仍可探索,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,17,1,-16,1–10,通过原Top20及既有审核,3,1,1,5,454,4,-13,1–10,通过原Top20及既有审核,3,6,3,4,310,A和B均在Top20
180,C384-249,bictegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2276,17,1,-16,1–10,通过原Top20及既有审核,1,7,229,21,49,111,94,101–200,仅因药内排名超过20而未通过,0,87,195,71,17,仅A在Top20
181,C384-114,glasdegib,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,17,79,62,51–100,仅因药内排名超过20而未通过,0,67,186,70,412,51,34,51–100,仅因药内排名超过20而未通过,0,78,94,55,184,A和B均未进Top20
182,C384-299,asenapine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL2039,17,301,284,201–384,仅因药内排名超过20而未通过,0,316,224,309,225,166,149,101–200,仅因药内排名超过20而未通过,0,293,185,87,99,A和B均未进Top20
183,C384-354,binimetinib,DHFR — Dihydrofolate reductase,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL202,17,141,124,101–200,仅因药内排名超过20而未通过,0,269,88,158,631,116,99,101–200,仅因药内排名超过20而未通过,0,146,97,84,714,A和B均未进Top20
184,C384-375,esketamine,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL262,17,106,89,101–200,仅因药内排名超过20而未通过,1,122,18,261,473,324,307,201–384,仅因药内排名超过20而未通过,0,361,268,249,452,A和B均未进Top20
185,C384-062,nevirapine,AKT1 — RAC-alpha serine/threonine-protein kinase,仍可探索,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,18,223,205,201–384,仅因药内排名超过20而未通过,0,176,132,209,365,274,256,201–384,仅因药内排名超过20而未通过,0,294,216,170,420,A和B均未进Top20
186,C384-063,dasabuvir,ALK — ALK tyrosine kinase receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,18,125,107,101–200,仅因药内排名超过20而未通过,0,313,44,143,236,46,28,21–50,仅因药内排名超过20而未通过,2,11,164,12,129,A和B均未进Top20
187,C384-066,doravirine,NR3C1 — Glucocorticoid receptor,仍可探索,ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,18,31,13,21–50,仅因药内排名超过20而未通过,0,100,25,34,511,142,124,101–200,仅因药内排名超过20而未通过,0,141,196,141,323,A和B均未进Top20
188,C384-078,relugolix,FLT1 — Vascular endothelial growth factor receptor 1,仍可探索,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,18,332,314,201–384,仅因药内排名超过20而未通过,0,375,342,248,398,35,17,21–50,仅因药内排名超过20而未通过,1,150,30,17,44,A和B均未进Top20
189,C384-193,roflumilast,ACHE — Acetylcholinesterase,仍可探索,MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220,18,275,257,201–384,仅因药内排名超过20而未通过,0,362,182,243,313,106,88,101–200,仅因药内排名超过20而未通过,0,200,64,110,426,A和B均未进Top20
190,C384-251,glasdegib,FAAH — Fatty-acid amide hydrolase 1,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2243,18,220,202,201–384,仅因药内排名超过20而未通过,0,310,191,115,536,171,153,101–200,仅因药内排名超过20而未通过,0,339,113,84,258,A和B均未进Top20
191,C384-252,lubiprostone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1902,18,65,47,51–100,仅因药内排名超过20而未通过,0,161,33,64,195,80,62,51–100,仅因药内排名超过20而未通过,0,193,114,40,74,A和B均未进Top20
192,C384-253,vaborbactam,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1902,18,171,153,101–200,仅因药内排名超过20而未通过,1,228,90,20,100,69,51,51–100,仅因药内排名超过20而未通过,0,78,82,121,63,A和B均未进Top20
193,C384-254,ubrogepant,METAP2 — Methionine aminopeptidase 2,仍可探索,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,18,210,192,201–384,仅因药内排名超过20而未通过,0,293,167,78,74,233,215,201–384,仅因药内排名超过20而未通过,1,332,9,33,105,A和B均未进Top20
194,C384-255,mirabegron,MME — Neprilysin,仍可探索,PBAPPPCECJKMCM-IBGZPJMESA-N__CHEMBL1944,18,145,127,101–200,仅因药内排名超过20而未通过,0,188,63,158,335,38,20,21–50,仅因药内排名超过20而未通过,1,6,223,117,403,A和B均未进Top20
195,C384-280,silodosin,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,PNCPYILNMDWPEY-QGZVFWFLSA-N__CHEMBL1844,18,32,14,21–50,仅因药内排名超过20而未通过,1,39,68,5,336,4,-14,1–10,通过原Top20及既有审核,2,3,11,154,384,仅B在Top20
196,C384-185,loxapine,NTRK3 — NT-3 growth factor receptor,仍可探索,XJGVXQDUIWGIRW-UHFFFAOYSA-N__CHEMBL5608,18,153,135,101–200,仅因药内排名超过20而未通过,0,56,366,161,224,64,46,51–100,仅因药内排名超过20而未通过,1,186,90,9,178,A和B均未进Top20
197,C384-186,brivaracetam,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL3535,18,75,57,51–100,仅因药内排名超过20而未通过,0,102,33,86,544,132,114,101–200,仅因药内排名超过20而未通过,0,246,159,47,208,A和B均未进Top20
198,C384-187,levetiracetam,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,HPHUVLMMVZITSG-LURJTMIESA-N__CHEMBL3535,18,31,13,21–50,仅因药内排名超过20而未通过,0,39,37,184,410,45,27,21–50,仅因药内排名超过20而未通过,1,145,119,19,253,A和B均未进Top20
199,C384-357,enasidenib,LCK — Tyrosine-protein kinase Lck,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL258,18,165,147,101–200,仅因药内排名超过20而未通过,0,148,114,335,532,214,196,201–384,仅因药内排名超过20而未通过,0,182,269,186,149,A和B均未进Top20
200,C384-358,duvelisib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL5366,18,66,48,51–100,仅因药内排名超过20而未通过,0,48,149,26,385,52,34,51–100,仅因药内排名超过20而未通过,1,10,129,175,82,A和B均未进Top20
201,C384-359,desoximetasone,RARB — Retinoic acid receptor beta,仍可探索,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL2008,18,241,223,201–384,仅因药内排名超过20而未通过,0,237,141,198,356,154,136,101–200,仅因药内排名超过20而未通过,0,176,90,217,219,A和B均未进Top20
202,C384-379,gepirone,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,QOIGKGMMAGJZNZ-UHFFFAOYSA-N__CHEMBL262,18,28,10,21–50,仅因药内排名超过20而未通过,0,39,58,50,26,357,339,201–384,仅因药内排名超过20而未通过,0,309,368,326,501,A和B均未进Top20
203,C384-023,tapinarof,ESR1 — Estrogen receptor,仍可探索,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,19,172,153,101–200,仅因药内排名超过20而未通过,0,189,157,366,246,126,107,101–200,仅因药内排名超过20而未通过,0,101,284,111,107,A和B均未进Top20
204,C384-024,givinostat,FLT1 — Vascular endothelial growth factor receptor 1,仍可探索,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,19,319,300,201–384,仅因药内排名超过20而未通过,0,356,186,184,296,95,76,51–100,仅因药内排名超过20而未通过,0,135,57,147,199,A和B均未进Top20
205,C384-025,ozanimod,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,19,170,151,101–200,仅因药内排名超过20而未通过,0,175,71,321,204,235,216,201–384,仅因药内排名超过20而未通过,0,306,264,57,97,A和B均未进Top20
206,C384-151,ranolazine,CA7 — Carbonic anhydrase 7,仍可探索,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2326,19,29,10,21–50,仅因药内排名超过20而未通过,0,106,41,38,243,145,126,101–200,仅因药内排名超过20而未通过,0,227,28,187,358,A和B均未进Top20
207,C384-152,rilpivirine,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,19,67,48,51–100,仅因药内排名超过20而未通过,1,12,202,203,59,234,215,201–384,仅因药内排名超过20而未通过,0,287,239,102,130,A和B均未进Top20
208,C384-153,dasabuvir,NR3C1 — Glucocorticoid receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL2034,19,10,-9,1–10,通过原Top20及既有审核,1,82,9,55,227,124,105,101–200,仅因药内排名超过20而未通过,0,113,221,144,217,仅A在Top20
209,C384-257,indapamide,ACE — Angiotensin-converting enzyme,仍可探索,NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL1808,19,157,138,101–200,仅因药内排名超过20而未通过,0,272,43,179,304,70,51,51–100,仅因药内排名超过20而未通过,0,57,69,209,229,A和B均未进Top20
210,C384-258,vibegron,ROCK2 — Rho-associated protein kinase 2,仍可探索,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL2973,19,181,162,101–200,仅因药内排名超过20而未通过,1,298,16,61,129,8,-11,1–10,通过原Top20及既有审核,2,4,7,95,170,仅B在Top20
211,C384-259,nalmefene,VDR — Vitamin D3 receptor,仍可探索,WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1977,19,269,250,201–384,仅因药内排名超过20而未通过,0,247,272,246,212,204,185,201–384,仅因药内排名超过20而未通过,0,114,233,230,187,A和B均未进Top20
212,C384-188,selinexor,ABL1 — Tyrosine-protein kinase ABL1,仍可探索,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,19,85,66,51–100,仅因药内排名超过20而未通过,0,101,141,208,122,53,34,51–100,仅因药内排名超过20而未通过,0,61,71,104,120,A和B均未进Top20
213,C384-221,rosuvastatin,NR3C2 — Mineralocorticoid receptor,仍可探索,BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL1994,19,10,-9,1–10,通过原Top20及既有审核,1,41,1,21,270,219,200,201–384,仅因药内排名超过20而未通过,0,151,153,290,534,仅A在Top20
214,C384-361,tasimelteon,NR3C1 — Glucocorticoid receptor,仍可探索,PTOIAAWZLUQTIO-GXFFZTMASA-N__CHEMBL2034,19,47,28,21–50,仅因药内排名超过20而未通过,1,15,268,342,521,176,157,101–200,仅因药内排名超过20而未通过,0,238,153,90,689,A和B均未进Top20
215,C384-067,sapropterin,CHEK2 — Serine/threonine-protein kinase Chk2,仍可探索,FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,20,181,161,101–200,仅因药内排名超过20而未通过,1,267,1,322,171,179,159,101–200,仅因药内排名超过20而未通过,0,278,80,212,305,A和B均未进Top20
216,C384-070,lubiprostone,NR3C2 — Mineralocorticoid receptor,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,20,3,-17,1–10,通过原Top20及既有审核,2,23,5,18,216,286,266,201–384,仅因药内排名超过20而未通过,0,245,235,310,530,仅A在Top20
217,C384-071,varenicline,NTRK3 — NT-3 growth factor receptor,仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,20,317,297,201–384,仅因药内排名超过20而未通过,0,309,212,372,677,209,189,201–384,仅因药内排名超过20而未通过,0,250,137,211,642,A和B均未进Top20
218,C384-086,belzutifan,AR — Androgen receptor,仍可探索,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL1871,20,3,-17,1–10,通过原Top20及既有审核,2,35,6,1,54,48,28,21–50,仅因药内排名超过20而未通过,1,107,122,15,70,仅A在Top20
219,C384-263,bictegravir,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL5366,20,199,179,101–200,仅因药内排名超过20而未通过,0,228,34,262,201,201,181,201–384,仅因药内排名超过20而未通过,0,310,146,141,96,A和B均未进Top20
220,C384-115,ketoprofen,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,20,180,160,101–200,仅因药内排名超过20而未通过,0,355,101,290,525,186,166,101–200,仅因药内排名超过20而未通过,0,111,296,165,568,A和B均未进Top20
221,C384-130,vemurafenib,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",仍可探索,GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,20,379,359,201–384,仅因药内排名超过20而未通过,0,355,359,372,669,174,154,101–200,仅因药内排名超过20而未通过,0,115,233,260,685,A和B均未进Top20
222,C384-190,metformin,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL1974,20,330,310,201–384,仅因药内排名超过20而未通过,0,318,277,277,679,121,101,101–200,仅因药内排名超过20而未通过,0,28,198,274,532,A和B均未进Top20
223,C384-191,alpelisib,MMP12 — Macrophage metalloelastase,仍可探索,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,20,66,46,51–100,仅因药内排名超过20而未通过,0,39,281,36,598,275,255,201–384,仅因药内排名超过20而未通过,0,143,212,376,716,A和B均未进Top20
224,C384-092,pomalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL1937,1,121,120,101–200,仅因药内排名超过20而未通过,0,322,335,75,589,20,19,11–20,通过原Top20及既有审核,0,64,40,24,81,仅B在Top20
225,C384-116,dabrafenib,HDAC1 — Histone deacetylase 1,先解决具体问题,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,1,357,356,201–384,仅因药内排名超过20而未通过,0,268,383,327,679,379,378,201–384,仅因药内排名超过20而未通过,0,384,349,371,656,A和B均未进Top20
226,C384-117,telmisartan,MME — Neprilysin,先解决具体问题,RMMXLENWKUUMAY-UHFFFAOYSA-N__CHEMBL1944,1,318,317,201–384,仅因药内排名超过20而未通过,0,295,182,347,486,101,100,101–200,仅因药内排名超过20而未通过,0,161,63,109,343,A和B均未进Top20
227,C384-088,esmolol,CA4 — Carbonic anhydrase 4,先解决具体问题,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL3729,1,28,27,21–50,仅因药内排名超过20而未通过,1,69,234,8,608,7,6,1–10,通过原Top20及既有审核,2,34,3,13,551,仅B在Top20
228,C384-090,levamlodipine,CA7 — Carbonic anhydrase 7,先解决具体问题,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL2326,1,9,8,1–10,通过原Top20及既有审核,3,16,18,5,234,7,6,1–10,通过原Top20及既有审核,2,3,29,13,69,A和B均在Top20
229,C384-091,nevirapine,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",先解决具体问题,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL3522,1,307,306,201–384,仅因药内排名超过20而未通过,0,369,90,175,558,273,272,201–384,仅因药内排名超过20而未通过,0,248,77,371,463,A和B均未进Top20
230,C384-284,pilocarpine,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL2722,1,39,38,21–50,仅因药内排名超过20而未通过,0,49,61,192,236,1,0,1–10,通过原Top20及既有审核,3,1,2,1,110,仅B在Top20
231,C384-079,idelalisib,HDAC11 — Histone deacetylase 11,先解决具体问题,IFSDAJWBUCMOAH-HNNXBMFYSA-N__CHEMBL3310,2,183,181,101–200,仅因药内排名超过20而未通过,0,150,118,243,710,173,171,101–200,仅因药内排名超过20而未通过,0,131,249,125,704,A和B均未进Top20
232,C384-097,betrixaban,F7 — Coagulation factor VII,先解决具体问题,XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3991,2,288,286,201–384,仅因药内排名超过20而未通过,0,251,28,365,85,371,369,201–384,仅因药内排名超过20而未通过,0,359,369,325,564,A和B均未进Top20
233,C384-002,tedizolid,NTRK2 — BDNF/NT-3 growth factors receptor,先解决具体问题,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,2,284,282,201–384,仅因药内排名超过20而未通过,0,267,337,120,419,104,102,101–200,仅因药内排名超过20而未通过,0,112,194,75,179,A和B均未进Top20
234,C384-095,clascoterone,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",先解决具体问题,GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL3522,2,262,260,201–384,仅因药内排名超过20而未通过,0,282,186,269,569,145,143,101–200,仅因药内排名超过20而未通过,1,157,260,17,114,A和B均未进Top20
235,C384-096,levamlodipine,DHFR — Dihydrofolate reductase,先解决具体问题,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL202,2,69,67,51–100,仅因药内排名超过20而未通过,0,27,70,379,287,159,157,101–200,仅因药内排名超过20而未通过,0,56,288,173,376,A和B均未进Top20
236,C384-099,acetaminophen,MIF — Macrophage migration inhibitory factor,先解决具体问题,RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL2085,2,142,140,101–200,仅因药内排名超过20而未通过,0,103,99,317,608,30,28,21–50,仅因药内排名超过20而未通过,0,43,29,51,575,A和B均未进Top20
237,C384-195,gemcitabine,DNMT1 — DNA (cytosine-5)-methyltransferase 1,先解决具体问题,SDUQYLNIPVEERB-QPPQHZFASA-N__CHEMBL1993,2,99,97,51–100,仅因药内排名超过20而未通过,0,29,164,126,635,228,226,201–384,仅因药内排名超过20而未通过,0,235,121,281,216,A和B均未进Top20
238,C384-286,pilocarpine,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",先解决具体问题,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL1908,2,44,42,21–50,仅因药内排名超过20而未通过,0,42,97,168,248,2,0,1–10,通过原Top20及既有审核,3,3,4,5,80,仅B在Top20
239,C384-101,thalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL1937,3,45,42,21–50,仅因药内排名超过20而未通过,1,229,359,19,591,134,131,101–200,仅因药内排名超过20而未通过,0,215,170,47,281,A和B均未进Top20
240,C384-100,etonogestrel,ESR2 — Estrogen receptor beta,先解决具体问题,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,3,127,124,101–200,仅因药内排名超过20而未通过,0,106,265,99,117,73,70,51–100,仅因药内排名超过20而未通过,0,61,129,82,29,A和B均未进Top20
241,C384-159,bictegravir,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2189110,3,69,66,51–100,仅因药内排名超过20而未通过,0,97,96,112,206,216,213,201–384,仅因药内排名超过20而未通过,0,170,239,230,91,A和B均未进Top20
242,C384-160,baricitinib,HDAC1 — Histone deacetylase 1,先解决具体问题,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL325,3,231,228,201–384,仅因药内排名超过20而未通过,0,293,195,156,640,253,250,201–384,仅因药内排名超过20而未通过,0,377,236,150,566,A和B均未进Top20
243,C384-161,articaine,MME — Neprilysin,先解决具体问题,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1944,3,165,162,101–200,仅因药内排名超过20而未通过,0,52,332,157,346,273,270,201–384,仅因药内排名超过20而未通过,0,207,235,330,550,A和B均未进Top20
244,C384-266,oxycodone,CA2 — Carbonic anhydrase 2,先解决具体问题,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL205,3,10,7,1–10,通过原Top20及既有审核,2,24,7,12,120,11,8,11–20,通过原Top20及既有审核,1,82,3,56,381,A和B均在Top20
245,C384-154,bempedoic acid,MMP3 — Stromelysin-1,先解决具体问题,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL283,3,145,142,101–200,仅因药内排名超过20而未通过,0,23,272,204,227,312,309,201–384,仅因药内排名超过20而未通过,0,288,235,241,444,A和B均未进Top20
246,C384-223,olmesartan,MME — Neprilysin,先解决具体问题,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL1944,3,77,74,51–100,仅因药内排名超过20而未通过,1,214,60,13,182,4,1,1–10,通过原Top20及既有审核,2,27,8,10,56,仅B在Top20
247,C384-081,duvelisib,HDAC11 — Histone deacetylase 11,先解决具体问题,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,4,313,309,201–384,仅因药内排名超过20而未通过,0,301,215,276,675,335,331,201–384,仅因药内排名超过20而未通过,0,253,350,237,482,A和B均未进Top20
248,C384-118,nilotinib,GART — Trifunctional purine biosynthetic protein adenosine-3,先解决具体问题,HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3972,4,321,317,201–384,仅因药内排名超过20而未通过,0,293,316,242,672,315,311,201–384,仅因药内排名超过20而未通过,0,324,301,253,635,A和B均未进Top20
249,C384-041,landiolol,CYP26A1 — Cytochrome P450 26A1,先解决具体问题,WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,4,173,169,101–200,仅因药内排名超过20而未通过,0,347,21,258,408,126,122,101–200,仅因药内排名超过20而未通过,0,53,324,146,484,A和B均未进Top20
250,C384-104,rilpivirine,YES1 — Tyrosine-protein kinase Yes,先解决具体问题,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2073,4,121,117,101–200,仅因药内排名超过20而未通过,1,184,7,41,91,98,94,51–100,仅因药内排名超过20而未通过,0,87,191,133,84,A和B均未进Top20
251,C384-075,capmatinib,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,4,302,298,201–384,仅因药内排名超过20而未通过,0,217,233,330,719,362,358,201–384,仅因药内排名超过20而未通过,0,362,278,313,720,A和B均未进Top20
252,C384-155,bempedoic acid,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,先解决具体问题,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL402,4,150,146,101–200,仅因药内排名超过20而未通过,0,106,313,60,245,180,176,101–200,仅因药内排名超过20而未通过,0,207,122,196,531,A和B均未进Top20
253,C384-224,thalidomide,HDAC11 — Histone deacetylase 11,先解决具体问题,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3310,4,33,29,21–50,仅因药内排名超过20而未通过,0,217,28,22,511,190,186,101–200,仅因药内排名超过20而未通过,0,65,301,212,362,A和B均未进Top20
254,C384-289,nicotine,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,SNICXCGAKADSCV-JTQLQIEISA-N__CHEMBL4523510,4,101,97,101–200,仅因药内排名超过20而未通过,0,184,292,38,376,242,238,201–384,仅因药内排名超过20而未通过,0,269,136,231,526,A和B均未进Top20
255,C384-306,hydroxychloroquine,CTSC — Dipeptidyl peptidase 1,先解决具体问题,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL2252,4,196,192,101–200,仅因药内排名超过20而未通过,0,253,40,138,175,26,22,21–50,仅因药内排名超过20而未通过,0,25,109,48,132,A和B均未进Top20
256,C384-083,paroxetine,MAOB — Amine oxidase [flavin-containing] B,先解决具体问题,AHOUBRCZNHFOSL-YOEHRIQHSA-N__CHEMBL2039,5,124,119,101–200,仅因药内排名超过20而未通过,0,154,146,190,95,114,109,101–200,仅因药内排名超过20而未通过,0,241,72,126,153,A和B均未进Top20
257,C384-107,lenalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL1937,5,150,145,101–200,仅因药内排名超过20而未通过,0,240,327,60,539,16,11,11–20,通过原Top20及既有审核,1,30,67,18,51,仅B在Top20
258,C384-005,ranolazine,IGF1R — Insulin-like growth factor 1 receptor,先解决具体问题,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,5,197,192,101–200,仅因药内排名超过20而未通过,0,91,236,246,237,85,80,51–100,仅因药内排名超过20而未通过,0,167,61,72,163,A和B均未进Top20
259,C384-028,nimodipine,F7 — Coagulation factor VII,先解决具体问题,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,5,114,109,101–200,仅因药内排名超过20而未通过,0,36,111,243,98,216,211,201–384,仅因药内排名超过20而未通过,0,218,183,240,395,A和B均未进Top20
260,C384-029,articaine,XDH — Xanthine dehydrogenase/oxidase,先解决具体问题,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1929,5,134,129,101–200,仅因药内排名超过20而未通过,0,127,58,184,249,222,217,201–384,仅因药内排名超过20而未通过,0,243,166,256,493,A和B均未进Top20
261,C384-105,pemigatinib,CDK9 — Cyclin-dependent kinase 9,先解决具体问题,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL3116,5,338,333,201–384,仅因药内排名超过20而未通过,0,230,267,352,599,337,332,201–384,仅因药内排名超过20而未通过,0,317,350,286,30,A和B均未进Top20
262,C384-106,rilpivirine,FYN — Tyrosine-protein kinase Fyn,先解决具体问题,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,5,90,85,51–100,仅因药内排名超过20而未通过,1,156,20,48,75,129,124,101–200,仅因药内排名超过20而未通过,0,154,177,128,91,A和B均未进Top20
263,C384-108,teriflunomide,XDH — Xanthine dehydrogenase/oxidase,先解决具体问题,UTNUDOFZCWSZMS-YFHOEESVSA-N__CHEMBL1929,5,11,6,11–20,通过原Top20及既有审核,1,22,28,18,85,2,-3,1–10,通过原Top20及既有审核,2,11,8,24,100,A和B均在Top20
264,C384-165,baricitinib,HDAC11 — Histone deacetylase 11,先解决具体问题,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL3310,5,346,341,201–384,仅因药内排名超过20而未通过,0,358,285,325,678,257,252,201–384,仅因药内排名超过20而未通过,0,150,291,315,644,A和B均未进Top20
265,C384-087,dabrafenib,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",先解决具体问题,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,5,372,367,201–384,仅因药内排名超过20而未通过,0,334,372,374,569,277,272,201–384,仅因药内排名超过20而未通过,0,219,197,363,602,A和B均未进Top20
