对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途
CTRL-057,SRC — Proto-oncogene tyrosine-protein kinase Src,DASATINIB ANHYDROUS,True,通用名称已收录,"IC50,Kd,Ki",有Kd记录，待确认构建与SPR实测活性,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL267,SRC,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,CHEMBL5652522; CHEMBL5716101; CHEMBL5716136; CHEMBL5719134; CHEMBL5719262; CHEMBL5719356; CHEMBL5719449; CHEMBL5719542; CHEMBL5719635; CHEMBL6093930; CHEMBL6093932,CHEMBL5649169; CHEMBL5715937; CHEMBL5715952; CHEMBL6092177,10.1002/cmdc.201800398; 10.1016/j.ejmech.2024.116929; 10.1158/0008-5472.can-05-0259; 10.18632/oncotarget.4214,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL267,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-058,PTK2 — Focal adhesion kinase 1,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2695,PTK2,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061093; CHEMBL3069796; CHEMBL3108325; CHEMBL3268423; CHEMBL3620026; CHEMBL3630470; CHEMBL4050188; CHEMBL4231211; CHEMBL4256127; CHEMBL4720734; CHEMBL5720720; CHEMBL860898,CHEMBL1144455; CHEMBL1150977; CHEMBL3045354; CHEMBL3102702; CHEMBL3259556; CHEMBL3616395; CHEMBL3627617; CHEMBL4049399; CHEMBL4229349; CHEMBL4251714; CHEMBL4715818; CHEMBL5715954,10.1007/s00044-012-0306-5; 10.1016/j.bmc.2014.04.005; 10.1016/j.bmc.2017.02.030; 10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2015.08.027; 10.1016/j.ejmech.2015.08.031; 10.1016/j.ejmech.2018.02.080; 10.1021/acs.jnatprod.7b01082; 10.1021/np4005745; 10.1038/nbt1068; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2695,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-059,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT,True,通用名称已收录,IC50,仅功能/其他活性记录，SPR对照尚未落实,CHEMBL3099695,USUZGMWDZDXMDG-CYBMUJFWSA-N,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,CHEMBL2722,CYP11B2,OSILODROSTAT,FUNCTIONAL_OR_OTHER_ONLY,CHEMBL3101041; CHEMBL3101168; CHEMBL3366798; CHEMBL3624681; CHEMBL4124785,CHEMBL3098017; CHEMBL3352462; CHEMBL3621059; CHEMBL4118250,10.1021/acs.jmedchem.5b00851; 10.1021/acs.jmedchem.8b00328; 10.1021/jm401430e; 10.1021/ml400324c,USUZGMWDZDXMDG-CYBMUJFWSA-N__CHEMBL2722,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-060,KDR — Vascular endothelial growth factor receptor 2,LINIFANIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL223360,MPVGZUGXCQEXTM-UHFFFAOYSA-N,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,CHEMBL279,KDR,LINIFANIB,Kd_RECORD_PRESENT,CHEMBL1051261; CHEMBL2066305; CHEMBL3295610; CHEMBL3295611; CHEMBL4012620; CHEMBL4773366; CHEMBL920439,CHEMBL1142982; CHEMBL1150977; CHEMBL2062390; CHEMBL3286125; CHEMBL4011618; CHEMBL4765413,10.1016/j.bmcl.2012.05.116; 10.1016/j.ejmech.2020.112654; 10.1021/acs.jmedchem.7b00468; 10.1021/jm061280h; 10.1021/ml5000417; 10.1038/nbt1358,MPVGZUGXCQEXTM-UHFFFAOYSA-N__CHEMBL279,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-061,NTRK1 — High affinity nerve growth factor receptor,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2815,NTRK1,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061933; CHEMBL3225460; CHEMBL3225461; CHEMBL3820676; CHEMBL4145901; CHEMBL4328637; CHEMBL4710997; CHEMBL4720523; CHEMBL5133743; CHEMBL5720931; CHEMBL860803,CHEMBL1144455; CHEMBL1150977; CHEMBL3217685; CHEMBL3817824; CHEMBL4145442; CHEMBL4325871; CHEMBL4706583; CHEMBL4715818; CHEMBL5131443; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2018.02.022; 10.1016/j.bmc.2021.116596; 10.1016/j.ejmech.2017.10.003; 10.1016/j.ejmech.2018.10.052; 10.1016/j.ejmech.2020.112756; 10.1038/nbt1068; 10.1038/nbt1358; 10.1039/C2MD00271J; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2815,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-062,F12 — Coagulation factor XII,SEPIMOSTAT,True,通用名称已收录,Ki,仅Ki记录，需先确认SPR结合适用性,CHEMBL114586,QMRJOIUGPCVZPH-UHFFFAOYSA-N,N=C(N)c1ccc2cc(OC(=O)c3ccc(NC4=NCCN4)cc3)ccc2c1,CHEMBL2821,F12,SEPIMOSTAT,Ki_NO_Kd_RECORD,CHEMBL4710306,CHEMBL4706558,10.1016/j.ejmech.2020.112753,QMRJOIUGPCVZPH-UHFFFAOYSA-N__CHEMBL2821,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-063,MMP3 — Stromelysin-1,ILOMASTAT,True,通用名称已收录,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,CHEMBL19611,NITYDPDXAAFEIT-DYVFJYSZSA-N,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,CHEMBL283,MMP3,ILOMASTAT,Ki_NO_Kd_RECORD,CHEMBL4677720; CHEMBL5168843; CHEMBL710131; CHEMBL710329; CHEMBL710739; CHEMBL810215; CHEMBL963055,CHEMBL1128130; CHEMBL1128777; CHEMBL1134202; CHEMBL1145729; CHEMBL1152126; CHEMBL4673300; CHEMBL5154944,10.1016/0960-894X(95)00033-P; 10.1016/0960-894X(95)00282-X; 10.1016/j.bmc.2008.07.041; 10.1016/s0960-894x(00)00719-8; 10.1016/s0960-894x(03)00590-0; 10.1021/acs.jmedchem.0c01215; 10.1021/acs.jmedchem.2c00613,NITYDPDXAAFEIT-DYVFJYSZSA-N__CHEMBL283,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-064,JAK1 — Tyrosine-protein kinase JAK1,CRAVACITINIB,False,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；冻结来源未匹配到此精确实体的原始活动，须先复核,CHEMBL4596392,BZZKEPGENYLQSC-UHFFFAOYSA-N,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,CHEMBL2835,JAK1,CRAVACITINIB,Kd_RECORD_PRESENT,,,,BZZKEPGENYLQSC-UHFFFAOYSA-N__CHEMBL2835,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-065,DPP4 — Dipeptidyl peptidase 4,LINAGLIPTIN,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL237500,LTXREWYXXSTFRX-QGZVFWFLSA-N,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL284,DPP4,LINAGLIPTIN,Kd_RECORD_PRESENT,CHEMBL1954392; CHEMBL2389862; CHEMBL4379983; CHEMBL4432075; CHEMBL5217466; CHEMBL5366931; CHEMBL5734252; CHEMBL6082526; CHEMBL902716,CHEMBL1138349; CHEMBL1949653; CHEMBL2385017; CHEMBL4376848; CHEMBL4431324; CHEMBL5214975; CHEMBL5365448; CHEMBL5727221; CHEMBL6078720,10.1016/j.bmcl.2011.11.054; 10.1016/j.bmcl.2022.129018; 10.1016/j.ejmech.2019.111912; 10.1016/j.ejmech.2024.117160; 10.1021/acs.jmedchem.3c00412; 10.1021/acs.jmedchem.6b00475; 10.1021/jm701280z; 10.1021/ml300410d,LTXREWYXXSTFRX-QGZVFWFLSA-N__CHEMBL284,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-066,GSK3A — Glycogen synthase kinase-3 alpha,ABEMACICLIB,True,通用名称已收录,Kd,有Kd记录，待确认构建与SPR实测活性,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CHEMBL2850,GSK3A,ABEMACICLIB,Kd_RECORD_PRESENT,CHEMBL3991726,CHEMBL3991601,10.1126/science.aan4368,UZWDCWONPYILKI-UHFFFAOYSA-N__CHEMBL2850,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-067,REN — Renin,REMIKIREN,True,通用名称已收录,Kd,有Kd记录，待确认构建与SPR实测活性,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,CHEMBL286,REN,REMIKIREN,Kd_RECORD_PRESENT,CHEMBL4322123,CHEMBL4321790,10.1021/acs.jmedchem.8b01732,UXIGZRQVLGFTOU-VQXQMPIVSA-N__CHEMBL286,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-068,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",ROLIPRAM,True,通用名称已收录,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,CHEMBL63,HJORMJIFDVBMOB-UHFFFAOYSA-N,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,CHEMBL288,PDE4D,ROLIPRAM,Ki_NO_Kd_RECORD,CHEMBL1023029; CHEMBL1045943; CHEMBL1045956; CHEMBL1045957; CHEMBL1045958; CHEMBL2175751; CHEMBL3362177; CHEMBL3374902; CHEMBL3630867; CHEMBL4266755; CHEMBL4266762; CHEMBL4340311; CHEMBL4340312; CHEMBL4390506; CHEMBL4397961; CHEMBL4730650; CHEMBL5615634; CHEMBL5638042; CHEMBL6093521; CHEMBL839598; CHEMBL839599; CHEMBL840090; CHEMBL864319; CHEMBL989823; CHEMBL999595; CHEMBL999596; CHEMBL999597; CHEMBL999598; CHEMBL999599; CHEMBL999600; CHEMBL999601; CHEMBL999602,CHEMBL1138125; CHEMBL1142672; CHEMBL1151716; CHEMBL1152805; CHEMBL1154619; CHEMBL1157355; CHEMBL2169806; CHEMBL3351837; CHEMBL3352813; CHEMBL3627623; CHEMBL4265881; CHEMBL4265882; CHEMBL4339243; CHEMBL4387778; CHEMBL4396884; CHEMBL4725427; CHEMBL5614392; CHEMBL5634154; CHEMBL6092169,10.1016/j.bmc.2015.10.033; 10.1016/j.bmcl.2005.10.026; 10.1016/j.bmcl.2014.07.016; 10.1016/j.bmcl.2018.03.031; 10.1016/j.bmcl.2018.04.068; 10.1016/j.bmcl.2019.06.056; 10.1016/j.ejmech.2023.115893; 10.1016/j.ejmech.2024.116710; 10.1016/j.ejmech.2024.116930; 10.1021/acs.jmedchem.9b00518; 10.1021/acs.jnatprod.9b00049; 10.1021/acsmedchemlett.9b00369; 10.1021/jm030603w; 10.1021/jm300514y; 10.1021/jm701635j; 10.1021/jm800582j; 10.1021/jm8010993; 10.1021/jm900977c; 10.1021/np500394d,HJORMJIFDVBMOB-UHFFFAOYSA-N__CHEMBL288,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-069,JAK2 — Tyrosine-protein kinase JAK2,RUXOLITINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1789941,HFNKQEVNSGCOJV-OAHLLOKOSA-N,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,CHEMBL2971,JAK2,RUXOLITINIB,Kd_RECORD_PRESENT,CHEMBL1292866; CHEMBL2155751; CHEMBL2186598; CHEMBL2186603; CHEMBL2378509; CHEMBL3118993; CHEMBL3299201; CHEMBL3299209; CHEMBL3382736; CHEMBL3388144; CHEMBL3784139; CHEMBL3784147; CHEMBL3991744; CHEMBL4031305; CHEMBL4145181; CHEMBL4341683; CHEMBL4341687; CHEMBL4429697; CHEMBL4714135; CHEMBL4732643; CHEMBL5136190; CHEMBL5385204; CHEMBL5503690; CHEMBL5503710; CHEMBL5706195; CHEMBL5714835; CHEMBL5731567; CHEMBL5737936; CHEMBL6098439,CHEMBL1287810; CHEMBL2150873; CHEMBL2176876; CHEMBL2375236; CHEMBL3112442; CHEMBL3297690; CHEMBL3351789; CHEMBL3779778; CHEMBL3991601; CHEMBL4028864; CHEMBL4138312; CHEMBL4340536; CHEMBL4428074; CHEMBL4706688; CHEMBL4732032; CHEMBL5131539; CHEMBL5380863; CHEMBL5500392; CHEMBL5705885; CHEMBL5712911; CHEMBL5725835; CHEMBL5729032; CHEMBL6096668,10.1016/j.bmc.2016.08.008; 10.1016/j.bmcl.2010.10.026; 10.1016/j.bmcl.2013.02.012; 10.1016/j.bmcl.2014.01.001; 10.1016/j.bmcl.2016.02.035; 10.1016/j.bmcl.2019.04.011; 10.1016/j.ejmech.2024.117107; 10.1021/acs.jmedchem.0c01952; 10.1021/acs.jmedchem.2c00283; 10.1021/acs.jmedchem.3c00036; 10.1021/acs.jmedchem.4c00197; 10.1021/acs.jmedchem.7b00678; 10.1021/acs.jmedchem.8b00076; 10.1021/jm300438j; 10.1021/jm3012239; 10.1021/jm401490p; 10.1021/jm501262q; 10.1038/leu.2009.50; 10.1038/s42003-019-0723-9; 10.1039/d0md00436g; 10.1126/science.aan4368,HFNKQEVNSGCOJV-OAHLLOKOSA-N__CHEMBL2971,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-070,ROCK2 — Rho-associated protein kinase 2,Y-39983,True,通用名称已收录,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL571948,JTVBXQAYBIJXRP-SNVBAGLBSA-N,C[C@@H](N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1,CHEMBL2973,ROCK2,Y-39983,Kd_RECORD_PRESENT,CHEMBL3240142; CHEMBL3991871; CHEMBL5150293; CHEMBL5257163,CHEMBL3232974; CHEMBL3991601; CHEMBL5149965; CHEMBL5257016,10.1016/j.bmcl.2014.03.017; 10.1021/acs.jmedchem.0c01511; 10.1021/acs.jmedchem.5b00683; 10.1126/science.aan4368,JTVBXQAYBIJXRP-SNVBAGLBSA-N__CHEMBL2973,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-071,PRKCB — Protein kinase C beta type,ENZASTAURIN,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL300138,AXRCEOKUDYDWLF-UHFFFAOYSA-N,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,CHEMBL3045,PRKCB,ENZASTAURIN,Kd_RECORD_PRESENT,CHEMBL3991843; CHEMBL4234419; CHEMBL5210620; CHEMBL761758; CHEMBL764582,CHEMBL1136405; CHEMBL3991601; CHEMBL4229455; CHEMBL5210307,10.1016/j.bmc.2018.07.012; 10.1016/s0960-894x(03)00286-5; 10.1126/science.aan4368; 10.6019/CHEMBL5210307,AXRCEOKUDYDWLF-UHFFFAOYSA-N__CHEMBL3045,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-072,CDK9 — Cyclin-dependent kinase 9,DINACICLIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL2103840,PIMQWRZWLQKKBJ-SFHVURJKSA-N,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,CHEMBL3116,CDK9,DINACICLIB,Kd_RECORD_PRESENT,CHEMBL3777660; CHEMBL3856518; CHEMBL3991663; CHEMBL4841252; CHEMBL5504167; CHEMBL6101072,CHEMBL3774312; CHEMBL3856187; CHEMBL3991601; CHEMBL4840335; CHEMBL5500401; CHEMBL6096727,10.1016/j.ejmech.2016.01.011; 10.1021/acs.jmedchem.1c01148; 10.1021/acs.jmedchem.4c00233; 10.1021/acs.jmedchem.4c01933; 10.1021/acs.jmedchem.6b00150; 10.1126/science.aan4368,PIMQWRZWLQKKBJ-SFHVURJKSA-N__CHEMBL3116,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-073,"PIK3CB — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",PICTILISIB,True,通用名称已收录,"IC50,Kd,Ki",有Kd记录，待确认构建与SPR实测活性,CHEMBL521851,LHNIIDJUOCFXAP-UHFFFAOYSA-N,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,CHEMBL3145,PIK3CB,PICTILISIB,Kd_RECORD_PRESENT,CHEMBL2383018; CHEMBL4019280; CHEMBL4156825; CHEMBL4620659; CHEMBL5210372; CHEMBL5681399; CHEMBL5736186; CHEMBL980851,CHEMBL1140078; CHEMBL2380305; CHEMBL4017506; CHEMBL4152344; CHEMBL4619747; CHEMBL5210307; CHEMBL5678805; CHEMBL5728150,10.1016/j.bmcl.2013.02.102; 10.1016/j.bmcl.2020.127194; 10.1016/j.ejmech.2018.07.036; 10.1021/acs.jmedchem.7b00930; 10.1021/jm800295d; 10.1158/0008-5472.can-11-1515; 10.6019/CHEMBL5210307,LHNIIDJUOCFXAP-UHFFFAOYSA-N__CHEMBL3145,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-074,HCK — Tyrosine-protein kinase HCK,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL3234,HCK,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1063730; CHEMBL4328442; CHEMBL4720708; CHEMBL5720746; CHEMBL860887,CHEMBL1144455; CHEMBL1150977; CHEMBL4325871; CHEMBL4715818; CHEMBL5715954,10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1068; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL3234,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-075,CA12 — Carbonic anhydrase 12,INDAPAMIDE,True,通用名称已收录,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL406,NDDAHWYSQHTHNT-UHFFFAOYSA-N,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL3242,CA12,INDAPAMIDE,Kd_RECORD_PRESENT,CHEMBL1029738; CHEMBL2446502,CHEMBL1143325; CHEMBL2439997,10.1016/j.bmc.2008.12.023; 10.1016/j.bmc.2013.09.029,NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL3242,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-076,HDAC1 — Histone deacetylase 1,TRICHOSTATIN,True,通用名称已收录,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL99,RTKIYFITIVXBLE-QEQCGCAPSA-N,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,CHEMBL325,HDAC1,TRICHOSTATIN,Kd_RECORD_PRESENT,CHEMBL1032117; CHEMBL1049814; CHEMBL1216982; CHEMBL1921154; CHEMBL2024762; CHEMBL2318998; CHEMBL2401042; CHEMBL2410192; CHEMBL3620700; CHEMBL3632099; CHEMBL3772318; CHEMBL3794853; CHEMBL3861342; CHEMBL4329354; CHEMBL4376737; CHEMBL4384539; CHEMBL4422739; CHEMBL4611578; CHEMBL4612433; CHEMBL4823880; CHEMBL4824413; CHEMBL5325201; CHEMBL5327198; CHEMBL5366677; CHEMBL5376343; CHEMBL5610300; CHEMBL701991; CHEMBL827901; CHEMBL868653; CHEMBL908252; CHEMBL921442; CHEMBL924050; CHEMBL925324; CHEMBL960031,CHEMBL1133829; CHEMBL1137591; CHEMBL1137993; CHEMBL1140506; CHEMBL1140672; CHEMBL1145603; CHEMBL1146857; CHEMBL1153969; CHEMBL1156016; CHEMBL1158439; CHEMBL1212811; CHEMBL1914352; CHEMBL2021837; CHEMBL2311425; CHEMBL2396564; CHEMBL2407068; CHEMBL3616411; CHEMBL3627628; CHEMBL3769398; CHEMBL3792358; CHEMBL3860072; CHEMBL4325904; CHEMBL4373747; CHEMBL4382249; CHEMBL4422610; CHEMBL4610053; CHEMBL4610108; CHEMBL4823254; CHEMBL4823270; CHEMBL5321294; CHEMBL5325440; CHEMBL5365438; CHEMBL5375948; CHEMBL5608209,10.1016/j.bmc.2007.08.041; 10.1016/j.bmc.2013.05.002; 10.1016/j.bmc.2015.10.004; 10.1016/j.bmc.2019.115250; 10.1016/j.bmc.2023.117444; 10.1016/j.bmcl.2004.08.016; 10.1016/j.bmcl.2006.12.117; 10.1016/j.bmcl.2007.06.038; 10.1016/j.bmcl.2008.03.053; 10.1016/j.bmcl.2009.02.029; 10.1016/j.bmcl.2009.04.102; 10.1016/j.bmcl.2015.07.065; 10.1016/j.bmcl.2016.09.011; 10.1016/j.ejmech.2012.03.009; 10.1016/j.ejmech.2016.03.046; 10.1016/j.ejmech.2018.08.073; 10.1016/j.ejmech.2018.10.066; 10.1016/j.ejmech.2018.11.020; 10.1016/j.ejmech.2021.113569; 10.1016/j.ejmech.2023.115327; 10.1016/j.ejmech.2024.116676; 10.1016/s0960-894x(01)00552-2; 10.1021/acs.jmedchem.0c02210; 10.1021/acs.jmedchem.3c01160; 10.1021/acs.jmedchem.3c01491; 10.1021/acs.jmedchem.5b01632; 10.1021/acsmedchemlett.9b00471; 10.1021/acsmedchemlett.9b00561; 10.1021/jm060554y; 10.1021/jm2001025; 10.1021/jm301254q; 10.1021/jm900850t; 10.1021/ml400158k; 10.1038/nchembio.313,RTKIYFITIVXBLE-QEQCGCAPSA-N__CHEMBL325,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-077,"PIK3CG — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PICTILISIB,True,通用名称已收录,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL521851,LHNIIDJUOCFXAP-UHFFFAOYSA-N,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,CHEMBL3267,PIK3CG,PICTILISIB,Kd_RECORD_PRESENT,CHEMBL2157132; CHEMBL2157137; CHEMBL2383016; CHEMBL4019281; CHEMBL4051857; CHEMBL4156826; CHEMBL4376369; CHEMBL4416687; CHEMBL4620660; CHEMBL5210374; CHEMBL5519899; CHEMBL5681401; CHEMBL5731589; CHEMBL5736187; CHEMBL980853,CHEMBL1140078; CHEMBL2150966; CHEMBL2380305; CHEMBL4017506; CHEMBL4049442; CHEMBL4152344; CHEMBL4373732; CHEMBL4414631; CHEMBL4619747; CHEMBL5210307; CHEMBL5518190; CHEMBL5678805; CHEMBL5725842; CHEMBL5728150,10.1016/j.bmcl.2013.02.102; 10.1016/j.bmcl.2020.127194; 10.1016/j.ejmech.2018.07.036; 10.1016/j.ejmech.2019.111718; 10.1016/j.ejmech.2023.116109; 10.1021/acs.jmedchem.7b00357; 10.1021/acs.jmedchem.7b00930; 10.1021/acs.jmedchem.9b01499; 10.1021/jm300403a; 10.1021/jm800295d; 10.1158/0008-5472.can-11-1515; 10.6019/CHEMBL5210307,LHNIIDJUOCFXAP-UHFFFAOYSA-N__CHEMBL3267,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-078,HDAC11 — Histone deacetylase 11,PANOBINOSTAT,True,通用名称已收录,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,CHEMBL3310,HDAC11,PANOBINOSTAT,Ki_NO_Kd_RECORD,CHEMBL3829041; CHEMBL4236298; CHEMBL4339277; CHEMBL4357507; CHEMBL5043905; CHEMBL5226428; CHEMBL5524167; CHEMBL5550846; CHEMBL5735577; CHEMBL6087085,CHEMBL3826921; CHEMBL4229543; CHEMBL4339181; CHEMBL4354838; CHEMBL5042504; CHEMBL5226279; CHEMBL5523684; CHEMBL5550109; CHEMBL5727872; CHEMBL6083289,10.1016/j.bmc.2024.117587; 10.1016/j.bmcl.2018.06.029; 10.1016/j.ejmech.2020.112887; 10.1016/j.ejmech.2024.116324; 10.1021/acs.jmedchem.1c01472; 10.1021/acs.jmedchem.4c02024; 10.1021/acs.jmedchem.6b00579; 10.1021/acs.jmedchem.8b00189; 10.1021/acs.jmedchem.9b01792,FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL3310,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-079,ENPEP — Glutamyl aminopeptidase,研究化合物 CHEMBL4217064（无通用名称）,True,仅研究编号，实物待落实,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,CHEMBL4217064,DVQGHYMQIXFLEX-RLDOYHLOSA-N,CC[C@H](C)[C@H](NC(=O)C(S)C(N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O,CHEMBL3439,ENPEP,CHEMBL4217064,Ki_NO_Kd_RECORD,CHEMBL4194806,CHEMBL4190377,10.1021/acs.jmedchem.7b00782,DVQGHYMQIXFLEX-RLDOYHLOSA-N__CHEMBL3439,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-080,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",BIFONAZOLE,True,通用名称已收录,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,CHEMBL277535,OCAPBUJLXMYKEJ-UHFFFAOYSA-N,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,CHEMBL3522,CYP17A1,BIFONAZOLE,Ki_NO_Kd_RECORD,CHEMBL1006441; CHEMBL661140,CHEMBL1145784; CHEMBL1156610,10.1016/j.bmc.2008.07.011; 10.1021/jm020576u,OCAPBUJLXMYKEJ-UHFFFAOYSA-N__CHEMBL3522,每个靶点另计参考；不计入384候选；不是384次重复采购
